Oil Type,Feature 1,Feature 2,Feature 3
SO C,-3.799349,-1.8644563,-0.47652423
SO C,-5.2752943,0.8597661,1.1180527
SO C,-2.810341,-0.7401851,-1.6025194
SO C,-4.373728,0.24106856,-1.6653507
SO C,-5.5903625,1.1774155,-1.3434204
SO C,-4.5650883,0.5452185,-1.1165639
SO C,-2.6143596,0.19969973,-2.1622953
SO C,-2.4020004,-1.7961046,-1.115355
SO C,-4.2720985,-1.0400771,-1.7106624
SO C,-5.2728243,-1.3322251,-0.12552008
SO C,-5.339332,1.8982592,-0.5267918
SO C,-4.041564,-2.5682526,-1.4613141
SO C,-0.8348524,-3.9033768,-1.3320762
SO C,-5.4177213,-0.11269681,-2.2812173
SO C,-4.1848207,0.53847766,-2.0455601
SO C,-4.747789,-2.2383316,-0.72088957
SO C,-6.0296044,-1.6161132,-0.75599766
SO C,1.9593434,-0.33714852,-3.6416972
SO C,-0.75096196,-3.6907594,-3.39449
SO C,-1.4044138,-2.9978514,-2.260294
SO C,-2.7534835,0.6821673,-1.9318663
SO C,-0.92145926,0.4862376,-3.306493
SO C,2.7723658,0.18503264,-4.958155
SO C,2.7861066,0.04576124,-5.0832543
SO C,-2.468501,1.5293969,-2.8972468
SO C,-0.59994113,0.073824815,-2.4138494
SO C,0.1099898,1.0034195,-3.827275
SO C,2.4791217,0.6106762,-4.9315977
SO C,-0.23128831,0.92512065,-3.8030462
SO C,-2.7155375,0.63709277,-2.012086
SO C,-2.0127966,0.9076441,-2.1218307
SO C,0.0048240395,1.292352,-3.514827
SO C,2.7217083,0.13372374,-4.7746677
SO C,3.4912117,0.95730174,-5.7169075
SO C,2.5837793,-0.035220418,-4.6322956
SO C,-1.51449,0.6369497,-2.964866
SO C,6.276137,-0.63086987,-5.547414
SO C,-2.47607,0.9067238,-1.9725184
SO C,-0.7482289,-3.7999868,-0.5732845
SO C,-7.7046876,1.5786886,-0.33114168
SO C,-7.6413636,1.8993014,-0.48660874
