Oil_Type,Feature 1,Feature 2,Feature 3
GNO,0.4773001,4.3379765,-9.495134
GNO,-0.6735801,3.7849019,-7.989063
GNO,0.21811074,4.2343497,-9.728608
GNO,0.02581143,4.2600374,-9.861259
GNO,-0.065071836,4.3216724,-9.01872
GNO,2.023993,4.5311594,-8.998749
GNO,-1.8575969,4.31648,-10.475577
GNO,-2.2862558,2.8703396,-8.482735
GNO,-1.856447,4.8372393,-8.430005
GNO,-1.1454742,4.078476,-9.920992
GNO,-1.246222,4.591995,-9.748216
GNO,-0.71029353,5.5926485,-9.342453
GNO,-0.7424956,4.754644,-10.881543
GNO,-1.2525096,4.166707,-9.685231
GNO,-0.52004296,4.7627873,-9.977838
GNO,-0.75366586,4.807594,-9.915945
GNO,-0.90006435,5.667855,-8.94346
GNO,-0.37226364,3.730759,-10.175791
GNO,-1.5791742,4.3955245,-9.425581
GNO,-1.4562143,4.213411,-8.5067215
GNO,0.1628479,4.0717435,-10.799308
GNO,-1.5574781,4.7658124,-9.63957
GNO,-1.3945287,4.225197,-9.259479
GNO,-1.1984532,4.483054,-8.551769
GNO,-0.49098137,4.620824,-9.671449
GNO,-0.923944,3.4784703,-8.448344
GNO,0.54906034,4.7488856,-9.499551
GNO,-0.2708067,4.789327,-8.431885
GNO,0.38965634,4.757115,-7.644756
GNO,0.41781843,3.3570268,-6.8455806
GNO,0.729047,3.80162,-8.005952
GNO,0.66185194,3.6928277,-7.777001
GNO,0.9513308,4.5694327,-8.210437
GNO,0.50847673,3.972822,-8.071189
GNO,0.67546695,4.132656,-8.323477
GNO,0.5258771,4.118919,-8.221626
GNO,0.4293355,3.8173957,-7.4118123
GNO,1.0513685,4.493819,-8.457901
GNO,1.4927089,4.577474,-7.242805
GNO,0.8088697,4.070162,-8.369504
GNO,0.33951566,4.457333,-7.9124618
GNO,0.66139174,4.053883,-8.220429
GNO,-0.34209085,4.302618,-7.0924087
GNO,0.73772335,4.108575,-7.2077703
GNO,1.5805024,3.9169602,-7.8364325
GNO,0.6347367,4.1633215,-8.215518
GNO,0.6998375,4.225802,-11.145443
GNO,-1.4758972,2.5032232,-9.529929
GNO,-2.549275,2.9162192,-10.08031
GNO,-0.53131855,2.950852,-7.763921
GNO,2.1380186,4.2727823,-9.164949
GNO,0.6966604,4.1508956,-9.23097
GNO,-0.1915601,2.7165706,-8.599816
GNO,-0.57118934,3.2955434,-8.570316
GNO,0.21655105,3.2833276,-9.205585
GNO,1.0521097,3.4379077,-9.142758
GNO,-0.10833447,3.6572113,-8.979289
GNO,0.52758783,2.6893816,-8.660843
GNO,-0.058315903,3.2024903,-8.941825
GNO,0.5478367,3.3698611,-8.413774
GNO,0.61526924,2.9198244,-8.813711
GNO,0.30477414,3.269329,-8.872861
GNO,0.44728792,3.0699868,-9.097937
GNO,0.771824,3.2651258,-9.200855
GNO,1.4345369,4.365761,-10.655699
GNO,0.32391265,3.2675712,-9.595902
GNO,-0.8266342,2.0546653,-10.640165
GNO,-0.9729944,1.7918894,-12.158131
GNO,-1.7809604,1.8536972,-10.859236
GNO,-0.8936398,1.132323,-11.0665
GNO,-0.67809737,1.8318774,-10.431357
GNO,-1.0955396,1.5025322,-11.57163
GNO,-0.3525622,1.7809569,-11.844252
GNO,-0.045957748,1.5588695,-11.159948
GNO,1.0012956,1.9667829,-10.787165
GNO,0.26481438,1.5721316,-10.399552
GNO,0.8238707,1.6838671,-11.351188
GNO,-0.45318902,1.9253979,-9.293154
GNO,-0.066067144,0.81792676,-10.933016
GNO,-1.0944145,1.2734666,-11.651111
GNO,-0.3840122,1.5925325,-10.060167
GNO,-0.33983654,1.3274893,-11.307578
GNO,-0.3681033,1.0315602,-10.08286
GNO,0.51386184,1.5560821,-10.641743
GNO,0.2780732,1.4608642,-10.671699
GNO,-0.17232,1.0664154,-11.08619
GNO,2.3173707,2.5451243,-9.121712
GNO,2.6002696,1.7167482,-8.681239
GNO,2.09904,1.4536889,-7.656112
GNO,2.0060816,1.2305043,-8.981915
GNO,1.7809757,1.4814134,-8.645245
GNO,1.4514387,0.97629243,-8.066028
GNO,1.9320288,0.919696,-7.827021
GNO,0.981685,0.8233896,-8.8359785
GNO,1.597316,0.85546756,-8.471728
GNO,1.9772326,0.9418666,-9.936017
GNO,1.5405185,1.0160072,-9.756133
GNO,1.379394,0.62440866,-8.295628
GNO,1.302794,1.3637556,-8.9990835
GNO,0.5541905,1.0586936,-8.329337
