dataset,model,wavenumber,selection_count,selection_rate,mean_importance,std_importance
chips,baseline,848.9958,2,0.2,0.0004960317460317461,0.001071551041403416
chips,baseline,770.8931,2,0.2,0.0003968253968253968,0.0008365813915789362
chips,baseline,1119.946,1,0.1,0.018243524792437828,0.05769109089385411
chips,baseline,970.4893,1,0.1,0.007390789143904739,0.02337172740078494
chips,baseline,953.1331,1,0.1,0.0049406402165933245,0.01562367618386253
chips,baseline,1103.553,1,0.1,0.004582447896401384,0.014490972611675678
chips,baseline,1406.323,1,0.1,0.004117930221260735,0.013022038744825054
chips,baseline,1419.822,1,0.1,0.004032393289371943,0.01275154721599378
chips,baseline,1456.463,1,0.1,0.004022720293734204,0.012720958517981653
chips,baseline,1298.329,1,0.1,0.003418155325087804,0.010809156223510745
chips,baseline,2937.525,1,0.1,0.0033136743976342926,0.010478758520710835
chips,baseline,1075.591,1,0.1,0.003195395379974819,0.01010472742549962
chips,baseline,1052.449,1,0.1,0.002945325457890611,0.00931393689741268
chips,baseline,1101.625,1,0.1,0.0029250029250029257,0.009249671405663918
chips,baseline,2878.707,1,0.1,0.002875234779551885,0.00909229071111608
chips,baseline,1297.364,1,0.1,0.0028539997870493236,0.009025139768711388
chips,baseline,884.6726,1,0.1,0.0027267002537370226,0.008622583298368038
chips,baseline,1744.769,1,0.1,0.0026614262017222523,0.008416168621893063
chips,baseline,2736,1,0.1,0.0026494735132066025,0.00837837090202107
chips,baseline,2865.208,1,0.1,0.002619755975019132,0.00828439579489563
chips,baseline,509.5857,1,0.1,0.002590747986575148,0.008192664481072798
chips,baseline,1422.715,1,0.1,0.0024490602692689998,0.007744608577915314
chips,baseline,1345.576,1,0.1,0.002395551433776376,0.007575398782815365
chips,baseline,2787.105,1,0.1,0.0023039814277111014,0.007285828998293663
chips,baseline,1421.75,1,0.1,0.0021780101618811285,0.006887472878536409
chips,baseline,1618.454,1,0.1,0.002169392004158649,0.006860219870898805
chips,baseline,1630.025,1,0.1,0.002151120021392194,0.00680243878798946
chips,baseline,1718.734,1,0.1,0.002073780129335685,0.006557868575099329
chips,baseline,1442.964,1,0.1,0.0020487441464452955,0.0064786978457046914
chips,baseline,2716.716,1,0.1,0.0020165588556851294,0.006376919019747795
